points,price,province,region_1,region_2,variety,winery
91,60.0,California,Templeton Gap District,Central Coast,Zinfandel,Lone Madrone
91,22.0,California,Central Coast,Central Coast,Rosé,Malene Wines
91,125.0,California,Napa Valley,Napa,Cabernet Sauvignon,Patel
91,40.0,California,Amador County,Sierra Foothills,Zinfandel,Renwood
91,30.0,California,Santa Ynez Valley,Central Coast,Petit Verdot,Santa Barbara Winery
91,65.0,California,Napa Valley,Napa,Cabernet Sauvignon,White Rock Vineyards
91,33.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Williams & Heim
91,45.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Roar
91,35.0,California,Russian River Valley,Sonoma,Pinot Noir,Siduri
91,25.0,California,Sierra Foothills,Sierra Foothills,Zinfandel,Sierra Starr
91,38.0,California,Sonoma County,Sonoma,Syrah,Spicy Vines
91,65.0,California,Chalone,Central Coast,Pinot Noir,Testarossa
91,30.0,California,Calistoga,Napa,Sauvignon Blanc,Ziata
91,24.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,King Estate
91,25.0,California,Santa Ynez Valley,Central Coast,Grenache,Koehler
91,40.0,New York,Long Island,Long Island,White Blend,Channing Daughters
91,72.0,California,St. Helena,Napa,Cabernet Sauvignon,Corley
91,85.0,California,Oakville,Napa,Cabernet Sauvignon,World's End
91,24.0,California,Santa Maria Valley,Central Coast,Pinot Blanc,Nagy
91,50.0,Washington,Walla Walla Valley (WA),Columbia Valley,Merlot,Northstar
91,125.0,California,Oakville,Napa,Cabernet Franc,Oakville East
92,35.0,Oregon,Dundee Hills,Willamette Valley,Chardonnay,Domaine Drouhin
92,100.0,Oregon,Umpqua Valley,Southern Oregon,Tempranillo,Abacela
92,21.0,Oregon,Umpqua Valley,Southern Oregon,Albariño,Abacela
92,68.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Adelsheim
92,50.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Amalie Robert
92,40.0,California,Napa Valley,Napa,Grenache Blanc,Kale
92,29.0,California,Santa Ynez Valley,Central Coast,Grenache,Kings Carey
92,49.0,California,Russian River Valley,Sonoma,Chardonnay,Marimar Estate
92,42.0,California,Paso Robles,Central Coast,Grenache,MCV
92,32.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Opolo
92,27.0,California,Paso Robles Willow Creek District,Central Coast,Ugni Blanc,Paix Sur Terre
92,42.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
92,30.0,Oregon,Oregon,Oregon Other,Viognier,Penner-Ash
92,45.0,California,Howell Mountain,Napa,Zinfandel,Clif Family
86,20.0,California,Edna Valley,Central Coast,Pinot Noir,Tolosa
86,21.0,Oregon,Willamette Valley,Willamette Valley,Muscat,Treos
86,15.0,Oregon,Willamette Valley,Willamette Valley,Riesling,Château Bianca
86,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Gamay Noir,Evening Land
86,16.0,California,California,California Other,Sauvignon Blanc,Francis Ford Coppola
86,59.0,California,Napa Valley,Napa,Cabernet Sauvignon,6 North
86,48.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Broken Earth
86,42.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Siduri
86,20.0,California,Paso Robles,Central Coast,Pinot Gris,Still Waters
94,100.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Bridge
94,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,Venge
94,95.0,California,North Coast,North Coast,Pinot Noir,Schramsberg
94,110.0,California,North Coast,North Coast,Champagne Blend,Schramsberg
94,59.0,California,Sonoma Coast,Sonoma,Pinot Noir,Sojourn
94,39.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,DanCin
94,32.0,Oregon,Southern Oregon,Southern Oregon,Chardonnay,DanCin
94,29.0,Oregon,Dundee Hills,Willamette Valley,Chardonnay,DanCin
94,48.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Elizabeth Chambers
94,46.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Flying Goat Cellars
94,85.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Archery Summit
94,42.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Brittan Vineyards
94,95.0,California,North Coast,North Coast,Chardonnay,Schramsberg
94,45.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Styring
94,50.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Loring Wine Company
94,70.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Serene
93,40.0,California,Napa Valley,Napa,Cabernet Sauvignon,Gallo Signature Series
93,75.0,California,Oakville,Napa,Fumé Blanc,Robert Mondavi
93,60.0,California,Napa Valley,Napa,Syrah,Joseph Phelps
